ID,X,Y
200,"[0, 1, 0.10306598974646522, 0]",0
201,"[1, 1, 0.03353267332177094, 0]",0
202,"[0, 3, 0.08607514223788088, 0]",0
203,"[1, 1, 0.024402444346941693, 0]",0
204,"[0, 1, 0.0706606334661709, 0]",1
205,"[1, 1, 0.01876214660149552, 0]",0
206,"[0, 1, 0.04667277732286953, 0]",1
207,"[1, 1, 0.03030760592274435, 0]",0
208,"[1, 3, 0.041268903812682604, 0]",0
209,"[1, 1, 0.003168386567098342, 0]",0
210,"[1, 2, 0.013770202565045455, 0]",0
211,"[0, 3, 0.04938737669386607, 0]",0
212,"[0, 1, 0.0437863136133031, 0]",1
213,"[1, 2, 0.04967108782391396, 0]",0
214,"[1, 1, 0.06154478795588668, 0]",1
215,"[0, 2, 0.036041499888601065, 0]",1
216,"[0, 2, 0.1103333122200205, 0]",1
217,"[1, 1, 0.13423851883960702, 0]",0
218,"[0, 1, 0.16362240694936364, 0]",1
219,"[0, 1, 0.1301520925624489, 0]",0
220,"[0, 2, 0.006680021235826578, 0]",0
221,"[1, 2, 0.04243140814543423, 0]",0
222,"[0, 2, 0.061482244455629186, 1]",1
223,"[1, 1, 0.05395717579588899, 0]",1
224,"[0, 1, 0.042351614134052, 0]",1
225,"[0, 1, 0.06538323815672682, 0]",1
226,"[0, 2, 0.02912278360604877, 0]",1
227,"[0, 2, 0.11761892809347232, 0]",0
228,"[0, 1, 0.08197524274295209, 1]",1
229,"[1, 3, 0.012147701525507381, 0]",0
230,"[1, 2, 0.06154478795588668, 0]",0
231,"[0, 1, 0.09506343515590325, 0]",1
232,"[0, 3, 0.0836841660646064, 0]",0
233,"[1, 3, 0.059071176045604516, 0]",0
234,"[0, 1, 0.04599435081413482, 0]",1
235,"[1, 2, 0.025519090992102585, 0]",0
236,"[0, 1, 0.039143698286912054, 0]",1
237,"[1, 2, 0.04057589572996975, 0]",0
238,"[0, 2, 0.0942148379629322, 1]",1
239,"[1, 2, 0.04634815351270508, 0]",0
240,"[1, 3, 0.05379696389867554, 0]",0
241,"[0, 2, 0.10084707816373414, 1]",1
242,"[1, 2, 0.044961424571893296, 0]",0
243,"[0, 1, 0.08607514223788088, 0]",1
244,"[1, 1, 0.05011476452484448, 0]",1
245,"[0, 1, 0.10206535945113573, 0]",1
246,"[0, 3, 0.052482658832814756, 0]",1
247,"[1, 2, 0.05357520253710969, 0]",1
248,"[1, 2, 0.04243140814543423, 0]",0
249,"[0, 1, 0.09664511657357855, 1]",1
250,"[0, 1, 0.12050519913303322, 0]",1
251,"[0, 1, 0.02573832216125724, 1]",1
252,"[1, 1, 0.012421944937531033, 0]",0
253,"[0, 1, 0.040369417781972804, 0]",1
254,"[0, 1, 0.010451287362404919, 0]",1
255,"[0, 2, 0.08036280380566455, 0]",1
256,"[1, 1, 0.006474333011254853, 0]",0
257,"[0, 1, 0.11018977730337576, 1]",1
258,"[0, 2, 0.013693772628753775, 0]",0
259,"[0, 1, 0.12512043076748278, 0]",1
260,"[1, 3, 0.03450538317023542, 0]",1
261,"[1, 1, 0.06925586157070873, 0]",1
262,"[1, 1, 0.06154478795588668, 0]",1
263,"[0, 2, 0.01068308502952422, 0]",0
264,"[1, 3, 0.06025259956651661, 0]",0
265,"[0, 1, 0.029372612053280928, 0]",1
266,"[0, 1, 0.01719436269530364, 0]",0
267,"[0, 1, 0.0933121411446049, 0]",1
268,"[0, 1, 0.07190856659185917, 0]",1
269,"[0, 3, 0.06549195605056153, 0]",0
270,"[0, 3, 0.07006116228664722, 0]",0
271,"[0, 2, 0.01945236271008538, 0]",1
272,"[0, 1, 0.06987758514938448, 1]",1
273,"[0, 2, 0.047819523465489365, 1]",1
274,"[0, 2, 0.06113952281928717, 0]",1
275,"[0, 1, 0.026043716020575758, 0]",0
276,"[1, 1, 0.01872639361088997, 0]",0
277,"[0, 1, 0.1775477181790967, 0]",0
278,"[0, 2, 0.05298249367884156, 1]",1
279,"[0, 1, 0.052715518131042846, 0]",1
280,"[0, 3, 0.09905574964562139, 1]",1
281,"[0, 1, 0.10404605862377615, 1]",1
